MESA,Departamento,Municipio,Circuito,ESTADO
299,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
300,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
301,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
302,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
303,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
304,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
305,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
306,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
307,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
308,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
309,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
310,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
311,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
312,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
313,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
314,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
315,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
316,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
317,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
318,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
319,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
320,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
321,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
322,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
323,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
324,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
325,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
326,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
327,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
328,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
329,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
330,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
331,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
332,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
333,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
334,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
335,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
336,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
337,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
338,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
339,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
340,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
341,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
342,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
343,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
344,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
345,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
346,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
347,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
348,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
349,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
350,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
351,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
352,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
353,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
354,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
355,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
356,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
357,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
358 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
359 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
360 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
361 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
362 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
363 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
364 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
365 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
366 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
367 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
368 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
369 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
370 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
371 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
372 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
373 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
374 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
375 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
376 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
377 (BUE),241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
378,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
379,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
380,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
381,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,
