mesa,circuito,municipio,municipio_nombre,femenina,electronica,cargada,P33,P41,P60,P71,P176,P179,P180,P191,P652.1,P652.2,P652.3,P652.4,P652.5,P652.6,P652.7,P652.8,P652.9,P652.10,P652.11,P653.1,P653.2,P653.3,P654,nulos,recurridos,blanco,impugnados,validos,totales,P652,P653
1002,1,1,RESISTENCIA,1,1,1,2,10,0,10,0,2,2,4,1,0,1,1,1,1,0,0,1,2,23,89,13,8,3,3,0,7,0,172,185,31,110
1003,1,1,RESISTENCIA,1,1,1,2,9,4,15,0,1,2,4,0,0,0,1,2,2,2,0,3,0,17,91,13,13,0,0,0,7,0,182,189,27,117
1004,1,1,RESISTENCIA,1,1,1,2,4,5,18,0,3,1,5,0,0,0,1,3,0,0,1,1,1,17,91,9,8,2,2,0,6,0,171,181,24,108
1005,1,1,RESISTENCIA,1,1,1,0,7,2,13,2,4,4,1,0,1,2,3,0,0,0,1,2,3,5,95,16,10,1,0,0,5,0,172,178,17,121
1006,1,1,RESISTENCIA,1,1,1,0,10,0,5,1,2,2,5,2,4,2,1,0,1,1,0,2,5,22,113,4,6,2,0,0,3,0,189,194,40,123
1007,1,1,RESISTENCIA,1,1,1,1,4,1,17,0,2,3,8,0,0,3,0,1,0,1,0,1,0,19,91,14,15,1,1,0,7,0,182,191,25,120
1008,1,1,RESISTENCIA,1,1,1,2,3,2,10,1,3,3,6,0,0,1,2,1,1,2,1,3,3,19,86,3,8,1,0,1,8,0,161,171,33,97
1009,1,1,RESISTENCIA,1,1,1,0,9,1,10,0,1,0,6,2,2,0,0,0,2,1,2,1,3,26,99,8,8,2,0,0,7,0,182,191,39,115
1010,1,1,RESISTENCIA,1,1,1,1,1,0,5,0,2,2,3,0,1,1,1,0,1,0,0,0,2,9,47,4,4,3,0,0,5,0,85,93,15,55
1011,2,1,RESISTENCIA,1,1,1,3,4,1,14,3,0,4,3,2,1,2,2,1,0,2,1,2,4,27,93,9,8,0,0,0,6,0,187,193,44,110
1012,2,1,RESISTENCIA,1,1,1,3,6,0,22,2,2,1,2,0,0,2,0,1,3,3,1,3,3,15,87,14,11,0,0,1,7,0,182,190,31,112
1013,2,1,RESISTENCIA,1,1,1,4,3,0,11,0,1,2,4,2,1,0,0,0,1,1,0,2,1,19,113,14,8,0,0,0,7,0,188,195,27,135
1014,2,1,RESISTENCIA,1,1,1,1,4,1,9,1,3,3,2,0,1,3,3,0,2,2,0,0,3,20,105,8,7,1,1,0,12,0,179,193,34,120
1015,2,1,RESISTENCIA,1,1,1,3,2,2,11,1,2,2,3,0,1,0,0,1,1,1,0,3,3,20,102,9,8,2,0,0,5,0,176,183,30,119
1016,2,1,RESISTENCIA,1,1,1,4,4,0,10,0,4,1,1,0,0,1,0,2,0,1,1,1,2,23,112,11,7,2,2,0,6,0,186,196,31,130
1017,2,1,RESISTENCIA,1,1,1,2,4,1,15,4,4,1,5,0,3,3,0,1,1,3,2,3,3,15,112,11,9,3,0,0,16,0,203,222,34,132
1018,2,1,RESISTENCIA,1,1,1,5,7,0,14,3,3,1,4,2,4,2,1,0,3,3,0,1,1,17,121,9,7,1,2,1,10,0,209,223,34,137
1019,3,1,RESISTENCIA,1,1,1,3,4,3,8,3,0,0,3,1,2,2,0,0,1,2,1,1,2,32,97,8,14,2,0,0,8,0,188,198,44,119
